student_id,age,gender,country,device_type,internet_speed_mbps,study_hours_weekly,login_frequency_weekly,avg_session_duration_min,video_watch_time_min,assignments_submitted,forum_posts,quiz_attempts,avg_quiz_score,attendance_rate,engagement_score,final_grade,dropout
56,37,Female,Canada,Mobile,75.99,6.25,12,34.716297239601154,296.5886687325637,5,1,2,83.52,0.96,4.757943343662819,48.69004666804433,0
57,49,Female,UK,Laptop,68.44,7.7,5,64.90565129671154,380.00085407933875,5,0,2,70.71,0.84,5.610004270396694,37.58886392011788,0
58,42,Male,UK,Laptop,63.48,11.1,11,31.33935409181708,203.58210286302818,0,10,6,56.69,0.79,5.547910514315141,29.359643258413424,0
59,20,Female,UK,Laptop,61.07,6.42,14,29.47897321966812,349.121434166924,2,14,4,90.17,0.62,4.87160717083462,47.400530132250026,0
60,22,Female,India,Laptop,52.97,9.86,6,27.69376477094523,356.4775466528819,8,7,2,67.57,0.46,6.740387733264409,26.074081625940906,1
61,36,Female,Germany,Laptop,41.37,10.86,2,31.32011231113086,349.62864781308593,6,1,5,90.79,0.99,7.20614323906543,44.96698296225503,0
62,24,Female,UK,Tablet,63.41,7.32,2,46.057895501431275,300.1570310089017,5,2,6,75.12,0.83,5.896785155044509,45.3522158367005,0
63,38,Male,India,Tablet,37.38,6.55,14,76.03220901532325,412.12573604202646,9,6,6,55.82,0.5,7.025628680210132,32.14515599183577,1
64,26,Male,Australia,Mobile,44.59,13.61,12,7.137663458160013,451.14297809045536,7,13,6,79.76,0.82,8.938714890452276,48.76769136995762,0
65,24,Female,USA,Mobile,57.16,11.37,9,60.2573737143758,392.701825579965,0,1,3,71.37,0.77,5.9745091278998235,27.303284933822024,0
66,35,Female,USA,Tablet,20.08,-0.49,6,53.40598584752786,401.9158405375707,7,11,3,41.53,0.84,3.862579202687854,17.381145392606225,0
67,21,Female,UK,Tablet,65.63,11.32,8,62.326771182497026,450.0359960693221,7,0,4,86.89,0.61,7.84617998034661,48.18959768760155,0
68,42,Male,USA,Laptop,64.83,13.59,10,41.77970929831423,152.11449576148652,3,2,6,40.23,0.52,6.637572478807432,28.761720576448234,1
69,45,Male,UK,Mobile,53.82,8.36,14,21.188253165168707,284.66468077943745,4,11,5,85.96,0.64,5.7313234038971865,47.88297237624962,0
70,31,Male,USA,Laptop,54.48,12.19,12,25.736363911550093,293.06058887339606,9,13,2,69.82,0.69,7.32230294436698,42.31775963255322,0
71,35,Male,USA,Laptop,35.12,17.9,13,24.242540206736667,472.8097813915716,5,8,1,57.71,0.45,8.934048906957857,31.98470107653635,1
72,43,Male,Germany,Laptop,59.68,10.98,10,36.38728486546458,-41.106323483279084,7,7,4,68.78,0.67,5.288468382583605,44.281148444150745,0
73,26,Female,Germany,Mobile,39.27,7.61,7,30.644478030056938,500.3393559090248,6,1,5,68.68,0.49,6.984696779545124,38.004463474812056,1
74,43,Male,USA,Mobile,32.68,8.03,3,46.39340453009451,351.4545342094557,0,4,6,54.57,0.91,5.366272671047279,31.433301234576767,0
75,38,Male,Germany,Laptop,59.76,5.93,9,46.38764589484013,395.6920637719816,4,10,7,74.81,0.9,5.9574603188599085,42.03230822832425,0
76,19,Female,UK,Mobile,51.43,11.92,6,49.591316895061624,445.9565287928801,8,6,4,55.06,0.7,8.205782643964401,27.196370437689197,0
77,37,Male,Canada,Tablet,78.01,5.05,4,54.72282707114628,482.3337567241494,4,3,7,23.55,0.87,6.126668783620747,12.981565147750656,0
78,45,Female,UK,Laptop,63.51,13.05,1,27.3211225482962,341.9731850036178,7,6,5,68.17,0.41,8.024865925018089,24.855096741481606,1
79,32,Female,Germany,Laptop,38.08,16.89,10,16.079361400671935,311.4437052368962,4,4,2,91.35,0.91,7.824218526184481,48.685155532162256,0
80,45,Male,India,Laptop,52.51,1.96,6,54.219912174739534,139.18433387087413,9,13,2,83.21,0.42,3.4839216693543706,43.810495714291896,1
81,24,Male,USA,Laptop,56.81,4.15,12,29.63310105716596,242.49906672150894,1,5,4,61.45,0.47,3.457495333607545,28.29783090763656,1
82,29,Male,Germany,Laptop,46.82,6.92,5,33.731231879894466,449.01876347964304,2,0,4,62.26,0.98,5.521093817398215,34.23837912791358,0
83,46,Male,Australia,Tablet,42.78,4.97,1,41.91356303984095,335.68588694512465,3,2,6,94.16,0.92,4.969429434725623,52.66974550626767,0
84,25,Female,Australia,Laptop,28.1,14.28,9,44.66072185228333,29.79721009747459,0,8,2,31.96,0.72,4.832986050487373,8.715111897114348,0
85,32,Female,Germany,Mobile,72.61,7.52,7,17.834337410188024,152.04715312650998,3,5,5,83.7,0.44,4.61623576563255,44.31894365144846,1
86,20,Male,Germany,Mobile,57.28,3.24,1,45.52169640233114,344.0737734352746,3,8,5,61.47,0.81,4.292368867176373,30.40268590546095,0
87,31,Female,Australia,Tablet,24.06,10.43,12,21.514389717389054,201.8377044969292,2,9,7,68.67,0.75,5.938188522484647,34.42979181200572,0
88,34,Female,UK,Laptop,80.25,9.64,14,41.159170076813766,417.9423240188134,7,12,7,83.43,0.59,7.781711620094067,37.58203579560611,1
89,21,Female,USA,Tablet,62.91,11.15,9,28.487830208899553,332.2269830214108,2,6,4,54.97,0.65,6.206134915107055,20.14701083368729,0
90,35,Male,Canada,Tablet,73.3,7.84,6,59.483307198710705,284.21504165606495,5,9,4,53.97,0.62,5.573075208280325,30.727167496821433,0
91,25,Female,Australia,Mobile,89.11,11.58,4,53.63832918710514,171.11625674306993,5,11,1,75.88,0.94,5.529581283715349,38.10506478409625,0
92,21,Female,Australia,Laptop,54.05,3.39,7,58.05864798768883,234.05209985645425,5,2,4,38.57,0.83,3.9872604992822707,17.04882669805324,0
93,19,Female,Australia,Laptop,55.13,3.19,4,43.97647063295962,337.4243306822863,3,7,1,88.66,0.89,3.444121653411432,48.339189327286014,0
94,47,Male,Germany,Laptop,11.56,11.71,13,31.805111923642777,223.65166697346598,4,11,4,68.57,0.81,6.23125833486733,37.916358054182375,0
95,23,Female,India,Tablet,52.43,6.99,5,32.30975119286821,180.66783015738014,7,3,6,62.8,0.89,5.600339150786901,28.424474050559773,0
96,39,Female,Australia,Laptop,43.18,13.03,7,34.534254142408074,172.54148840795972,7,14,4,70.07,0.91,6.971707442039799,33.81987047434827,0
97,27,Female,USA,Tablet,40.12,9.77,14,28.63433166920443,214.30807758372185,7,9,1,59.86,0.83,5.6025403879186095,31.636324587769387,0
98,21,Female,Canada,Tablet,29.98,13.22,2,46.50128337016271,207.91902875611095,7,8,6,102.45,0.84,7.605595143780556,49.850716235426,0
99,39,Female,Australia,Mobile,58.94,10.98,10,51.74290349187392,365.32076761062984,2,11,4,56.02,0.61,6.32060383805315,28.161349206386816,0
100,46,Female,India,Laptop,38.99,10.37,1,40.19280148831519,351.69713066021427,2,2,5,58.12,0.85,6.269485653301071,31.400022438433414,0
101,48,Female,Australia,Tablet,64.12,14.28,14,44.854208051680075,343.6470058355084,3,13,1,88.19,0.44,6.802235029177543,41.06781856301658,1
102,35,Male,Canada,Mobile,30.52,13.97,14,47.70670737498636,268.0770199163769,7,12,2,55.55,0.91,7.331385099581885,36.66646393240079,0
103,43,Male,Canada,Mobile,22.44,11.61,12,24.532780019357144,233.86686074118282,8,8,4,75.33,0.74,7.052334303705913,33.80740968895964,0
104,29,Male,Australia,Laptop,76.42,8.77,12,25.394310560637393,154.9909460841936,1,4,1,70.65,0.92,3.805954730420968,32.97323716894555,0
105,19,Male,USA,Mobile,69.24,13.34,1,41.521517852928056,275.4371440539813,4,13,2,78.71,0.45,6.579185720269906,44.0127838453628,1
106,27,Male,UK,Mobile,34.66,15.22,11,28.781864560700562,407.33929942434247,0,1,7,42.61,0.67,8.002696497121713,25.3340258846949,0
107,47,Male,India,Tablet,40.76,5.12,13,14.532559158836712,170.52239776997968,9,10,6,58.35,0.95,5.388611988849899,36.60994083540302,0
108,21,Female,Australia,Mobile,50.76,6.07,4,58.75784624855142,144.88704793910424,2,4,3,63.94,0.41,3.545435239695521,33.310448372655166,1
109,31,Male,Germany,Tablet,63.07,10.76,10,41.16945102943983,251.04124882193597,5,6,5,55.84,0.74,6.483206244109679,33.06368556153649,0
110,48,Male,Canada,Laptop,62.17,12.38,11,55.96135611571329,254.39197165083937,1,10,3,47.6,0.8,5.785959858254197,36.2067573198265,0
111,33,Male,India,Tablet,45.25,9.65,4,35.74505125906899,283.52918721188206,0,5,5,80.81,0.95,5.31264593605941,40.688313258156526,0
112,32,Male,USA,Tablet,49.19,6.55,5,26.160302001440474,319.2989408478748,7,6,5,68.66,0.47,5.961494704239374,24.710146234491436,1
113,25,Female,India,Mobile,54.71,9.2,7,45.36843434033845,278.7289752013892,5,11,7,55.8,0.5,6.553644876006946,26.914445470406406,1
114,31,Female,Germany,Laptop,30.36,14.05,6,32.74237542590917,212.69678301802384,8,12,2,79.91,0.88,7.278483915090119,38.57792253694443,0
115,40,Female,Germany,Mobile,45.96,14.64,3,45.61657323495284,388.6363978088347,7,3,1,84.41,0.54,7.935181989044174,42.08076862638189,1
116,45,Female,USA,Tablet,52.49,12.49,14,51.809581084330205,385.3092351450747,5,11,7,58.43,0.73,8.073546175725374,30.816915352334938,0
117,42,Male,India,Tablet,50.23,15.37,3,55.51309811227266,350.4258806748226,2,9,5,78.04,0.72,7.763129403374113,38.92599780734813,0
118,47,Female,Australia,Tablet,80.91,12.84,8,33.4875456941858,268.2181657635723,8,5,1,47.92,0.85,6.993090828817862,24.570967677829167,0
119,25,Male,UK,Laptop,48.75,7.61,11,41.61328105384528,200.70504791941,1,11,5,60.35,0.95,4.48652523959705,23.36211340708276,0
120,38,Female,UK,Laptop,26.19,13.5,14,-1.4074276557799124,376.58588398339344,4,7,5,111.62,0.6,7.7329294199169665,44.93874777593464,0
121,33,Male,Australia,Laptop,52.79,6.32,8,39.43817010059293,316.5877051686333,8,4,7,74.62,0.74,6.4789385258431675,39.94229625396966,0
122,30,Male,Canada,Mobile,42.35,5.46,2,42.11601847673264,88.76461710131795,3,7,1,42.57,0.57,2.88182308550659,19.01354816781082,1
123,35,Female,Australia,Mobile,52.87,9.99,6,13.559358397745239,330.9940023856187,8,5,6,70.37,0.86,7.451970011928094,32.31510894925001,0
124,32,Female,Canada,Mobile,25.76,7.0,6,58.04132615997945,184.167556392601,3,1,5,64.36,0.91,4.620837781963004,31.567653973735908,0
125,38,Female,India,Mobile,57.03,5.66,6,50.203040100792315,231.88618584946173,8,13,4,57.09,0.54,5.257430929247309,21.175831351037438,1
126,41,Female,Australia,Laptop,61.81,13.3,6,48.582275042098416,289.1214173249537,6,3,5,84.29,0.54,7.635607086624769,43.01730387524656,1
127,43,Female,Canada,Laptop,51.8,4.75,10,56.113293902765385,438.0178487757728,6,3,3,67.15,0.97,5.415089243878864,36.79247444378023,0
128,42,Female,Germany,Tablet,35.35,12.17,11,47.77156192724644,349.35238331827435,2,3,4,53.02,0.67,6.597761916591372,20.183359809206415,0
129,45,Female,USA,Laptop,56.39,7.94,5,27.701151452964908,600.9847381387958,4,0,5,68.02,0.65,7.186923690693979,36.530490126531724,0
130,45,Male,Canada,Mobile,42.05,10.45,2,24.134874796252955,434.1922711108401,0,4,7,55.84,0.52,6.705961355554201,29.587927511649557,1
131,45,Female,Australia,Mobile,56.09,10.07,2,61.45634806825184,333.08127414084004,5,8,6,67.04,0.63,6.8864063707042,40.096560522439695,0
132,30,Male,UK,Mobile,52.29,8.08,8,49.38705313136022,328.35422106084104,4,9,5,64.15,0.47,5.865771105304205,24.81843900015476,1
133,26,Male,Australia,Laptop,19.73,6.81,2,31.047835186755346,394.87214112192754,8,14,3,50.39,0.59,6.217360705609638,29.503047077512427,1
134,46,Female,Germany,Laptop,68.12,9.33,8,40.90489688288716,245.3919866793235,5,13,3,86.75,0.55,5.625959933396617,47.669898245443974,1
135,32,Male,UK,Laptop,61.91,11.74,9,30.400440921369693,368.014604697511,0,10,5,63.46,0.74,6.362073023487555,43.31341579609768,0
136,30,Female,Canada,Laptop,74.66,4.12,8,20.613083724192283,514.4156929239878,1,3,1,99.13,0.95,4.208078464619939,43.09244608937239,0
137,18,Male,Australia,Mobile,26.38,15.36,3,32.027126048021074,241.85643836934673,8,2,2,91.22,0.53,7.817282191846735,45.8920827089461,1
138,42,Female,Canada,Laptop,23.19,15.35,5,28.488506482417513,233.98027217854286,0,9,6,108.86,0.43,6.974901360892714,53.654730129963184,1
139,24,Female,Germany,Tablet,48.85,7.5,5,37.57252650039611,317.40032575040345,0,11,2,54.59,0.56,4.237001628752018,24.986532330896384,1
140,26,Female,UK,Tablet,32.2,11.76,9,28.875936640260488,224.80782703353196,6,4,2,62.47,0.65,6.25203913516766,28.05568751262417,0
141,41,Female,USA,Laptop,45.43,9.15,14,65.16723477252832,282.48493793825656,9,4,3,49.03,0.76,6.557424689691283,28.07911116563756,0
142,18,Female,USA,Tablet,45.17,13.56,8,41.258298526555585,448.3575824576516,8,2,2,78.0,0.8,8.309787912288257,45.199846197279264,0
143,29,Male,Germany,Laptop,48.97,15.76,10,55.5972182172639,193.56662798673813,5,4,6,62.33,0.54,7.89583313993369,32.89195031248756,1
144,25,Female,Australia,Tablet,31.74,4.37,5,61.49126108944151,123.44718940964097,3,10,1,45.63,0.78,2.728235947048205,24.658979914492804,0
145,41,Female,Canada,Laptop,38.95,14.81,8,37.41706701700192,314.6459170893975,3,11,2,96.9,0.67,7.016229585446988,47.14686077249259,0
146,48,Male,Australia,Laptop,49.69,6.25,2,35.013184525025885,256.3066005172457,1,12,7,84.77,0.54,4.756533002586229,44.48218024916198,1
147,28,Female,Germany,Laptop,34.9,11.41,8,41.876668291633,256.44527271074185,7,8,6,75.29,0.68,7.30522636355371,30.864951339937832,0
148,36,Male,UK,Mobile,56.73,8.74,2,19.563104846554687,304.30625980530266,6,8,6,77.26,0.54,6.5435312990265135,35.88162211054277,1
149,34,Female,USA,Tablet,84.4,14.86,6,46.530110542539504,388.5661841999266,9,12,6,80.84,0.45,9.400830920999631,47.50033516000217,1
150,25,Male,Canada,Tablet,38.11,8.09,4,24.29289617676513,398.62525614254093,4,7,6,73.89,0.69,6.420126280712704,46.009377989773945,0
151,20,Female,UK,Laptop,51.23,5.69,8,45.14268054455104,449.4992365302489,9,8,3,60.77,0.7,6.3544961826512445,31.94704398698464,0
152,20,Female,USA,Mobile,40.22,9.98,8,44.88811054797662,347.01087287557107,5,12,5,68.51,0.43,6.7290543643778555,30.3388456515132,1
153,18,Male,USA,Mobile,34.1,10.93,13,54.696231931388404,257.4509862908441,4,4,5,55.61,0.92,6.366254931454221,28.465367767936797,0
154,44,Male,India,Mobile,51.55,8.45,4,32.59104572239664,375.8697324567221,3,14,2,72.85,0.7,5.41434866228361,36.435458866469254,0
155,22,Male,Canada,Mobile,63.06,8.54,1,29.34124304404536,439.55467301262115,3,4,4,80.19,0.59,6.1597733650631055,39.08987508410663,1
156,27,Male,Germany,Tablet,69.79,11.41,7,44.46771611685167,30.689401135149296,9,7,2,58.05,0.95,5.776447005675747,29.032121715743507,0
157,24,Male,India,Mobile,37.51,12.84,11,54.5547391689615,319.3377813514892,4,4,1,83.6,0.49,6.448688906757446,41.35260818077984,1
158,43,Female,USA,Tablet,55.6,11.79,3,42.46651029650045,317.6490555493596,3,11,6,90.16,0.52,6.925245277746797,47.99159571104512,1
159,26,Female,Canada,Laptop,82.49,12.29,11,45.124536138910024,479.63656991113874,4,12,6,79.71,0.94,8.085182849555693,46.64062668422158,0
160,45,Male,Canada,Laptop,47.79,6.4,3,31.384402514305606,138.69005930584638,8,11,7,56.83,0.72,5.613450296529232,42.77258980730329,0
161,24,Male,India,Laptop,85.99,9.76,13,53.92121977222344,312.0255232536289,9,7,4,75.55,0.9,7.088127616268144,44.9606639460707,0
162,26,Male,UK,Mobile,36.37,13.12,12,33.582238214860396,327.79008471223074,6,0,6,71.19,0.66,7.974950423561154,45.22258461166616,0
163,25,Female,UK,Tablet,21.2,8.42,12,67.47919722980289,200.28499019100934,7,9,2,63.31,0.63,5.327424950955047,27.770709405678993,0
164,29,Female,Germany,Tablet,75.35,12.36,4,43.05367252525531,300.1149663689399,0,6,2,102.41,0.58,5.6085748318447,57.605524184984915,1
165,19,Male,Canada,Mobile,55.11,10.56,12,53.71251974247297,386.9781258077015,0,3,1,68.8,0.68,5.302890629038507,36.115252025329546,0
166,18,Female,Australia,Tablet,44.3,8.84,2,32.983400049749214,497.12999225009855,3,0,5,81.13,0.88,6.737649961250492,45.56020857872507,0
167,33,Male,India,Mobile,70.27,12.91,8,25.631604525857878,430.93236933360333,1,6,5,47.7,0.56,7.227661846668016,17.765448147968016,1
168,40,Female,USA,Mobile,70.34,13.69,9,47.76454024229845,-0.43387982434387595,6,8,3,75.6,0.46,5.904830600878281,38.42088689929927,1
169,40,Male,UK,Mobile,60.23,11.04,12,63.39583382085093,355.31803666327426,8,4,7,77.78,0.83,8.088590183316372,46.12234312218427,0
170,47,Male,India,Tablet,34.29,9.4,5,81.74301934866632,341.6922763597272,9,3,7,45.93,0.41,7.728461381798636,26.66749919032885,1
171,41,Female,Germany,Mobile,40.93,11.97,3,11.27957485193,183.25387516591738,1,5,2,47.62,0.62,5.1072693758295875,20.93026864226477,0
172,22,Female,Germany,Mobile,54.04,5.93,5,27.522094714669905,78.70505728357907,1,0,1,52.83,0.66,2.5725252864178954,37.7192490322534,0
173,20,Male,Australia,Laptop,77.37,14.74,9,69.16052057748755,383.9499115002135,4,9,1,73.37,0.68,7.341749557501067,42.361629948061065,0
174,29,Male,Canada,Laptop,54.22,4.15,14,29.13982438210349,375.4942009408619,1,0,7,76.39,0.86,4.72247100470431,32.29197268312826,0
175,25,Female,Germany,Mobile,43.43,4.46,12,59.234016381756845,316.48394994902515,7,12,7,73.95,0.59,5.720419749745126,44.0384879222278,1
176,39,Male,Germany,Mobile,70.96,8.47,9,30.631554501918295,237.1569189401185,7,10,3,69.13,0.55,5.726784594700593,40.17621245854631,1
177,44,Male,Australia,Laptop,33.79,8.82,14,31.42782100579567,377.6296821189781,0,10,6,67.0,0.88,5.73414841059489,33.87812254069224,0
178,20,Male,Australia,Laptop,38.44,7.6,4,65.05036651959321,202.8189307336554,2,11,4,70.75,0.67,4.494094653668276,32.01944191685216,0
179,18,Male,UK,Tablet,42.37,19.01,11,15.815251853911857,430.175781641041,6,6,2,89.41,0.69,9.453878908205207,46.43485168932078,0
180,20,Male,UK,Tablet,68.46,4.19,11,49.950437275932714,193.09146756603215,2,5,3,81.17,0.54,3.2224573378301606,43.57331397404591,1
181,22,Male,Germany,Laptop,13.78,14.02,2,45.84661519184805,286.5019863380162,8,3,7,63.29,0.62,8.63850993169008,35.63656490827768,0
182,32,Female,Australia,Tablet,47.37,3.01,9,-4.310114008874557,317.1578716889374,4,8,5,58.35,0.88,4.288789358444687,44.11458486901485,0
183,31,Female,Canada,Tablet,47.64,12.51,2,44.9384940323185,60.35650670088572,9,5,7,74.61,0.94,7.254782533504429,36.375212043613345,0
184,20,Male,UK,Tablet,62.75,8.84,2,47.42465141341723,349.2950423424141,7,7,3,87.03,0.91,6.39847521171207,48.07005754211817,0
185,18,Male,UK,Mobile,31.27,6.02,3,64.33503768896362,339.28969060886527,5,7,6,40.07,0.82,5.702448453044326,26.265417687639633,0
186,22,Female,Australia,Laptop,41.62,11.33,4,33.7126070504738,411.7114354056043,5,12,7,46.95,0.72,7.857557177028022,32.66510193341386,0
187,43,Male,Germany,Tablet,47.25,9.99,2,29.915193082259123,279.075201606664,3,10,2,63.88,0.99,5.39237600803332,23.83477953295514,0
